trial_nr	onset	event_type	phase	response	nr_frames	subject_nr	run_nr	set_nr	condition	onset_abs	duration
0	0.003303167000922258	ll_fix	0		83				n	5.919049875001292	0.6772673329996906
0	0.00012229200001456775	pulse	0	t					n	5.915869000000384	
1	0.6805705000006128	ll_blank	0		6	1.0	1.0	1.0	S	6.596317208000983	0.04956954199951724
1	0.73014004200013	ll_word_0	1		27	1.0	1.0	1.0	S	6.6458867500005	0.21973754100145015
1	0.9498775830015802	ll_word_1	2		27	1.0	1.0	1.0	S	6.86562429100195	0.2302807500000199
1	1.1801583330016001	ll_word_2	3		27	1.0	1.0	1.0	S	7.09590504100197	0.22066166699914902
1	1.4008200000007491	ll_word_3	4		27	1.0	1.0	1.0	S	7.316566708001119	0.22878929199941922
1	1.6296092920001684	ll_word_4	5		27	1.0	1.0	1.0	S	7.545356000000538	0.22126900000148453
1	1.8508782920016529	ll_word_5	6		27	1.0	1.0	1.0	S	7.766625000002023	0.24836620799942466
1	2.000121417000628	pulse	6	t		1.0	1.0	1.0	S	7.915868125000998	
1	2.0992445000010775	ll_word_6	7		27	1.0	1.0	1.0	S	8.014991208001447	0.23095391700007895
1	2.3301984170011565	ll_word_7	8		27	1.0	1.0	1.0	S	8.245945125001526	0.21933987500051444
1	2.549538292001671	ll_word_8	9		27	1.0	1.0	1.0	S	8.46528500000204	0.23060654099936073
1	2.7801448330010317	ll_word_9	10		27	1.0	1.0	1.0	S	8.695891541001401	0.22029837499940186
1	3.0004432080004335	ll_word_10	11		27	1.0	1.0	1.0	S	8.916189916000803	0.22973287500099104
1	3.2301760830014246	ll_word_11	12		27	1.0	1.0	1.0	S	9.145922791001794	0.22030645899940282
2	3.4504825420008274	ll_attention	0		24					9.366229250001197	0.21306116599953384
2	3.663543708000361	ll_blank	1		6					9.579290416000731	0.09990812500109314
3	3.7634518330014544	ll_blank	0		6	1.0	1.0	1.0	S	9.679198541001824	0.049509291999129346
3	3.8129611250005837	ll_word_0	1		27	1.0	1.0	1.0	S	9.728707833000954	0.24982791699949303
3	3.868588333001753	response	1	escape		1.0	1.0	1.0	S	9.784335041002123	
3	4.000121000000945	pulse	1	t		1.0	1.0	1.0	S	9.915867708001315	
3	4.062789042000077	ll_word_1	2		27	1.0	1.0	1.0	S	9.978535750000447	0.22080670800096414
3	4.283595750001041	ll_word_2	3		27	1.0	1.0	1.0	S	10.19934245800141	0.2298821250005858
3	4.513477875001627	ll_word_3	4		27	1.0	1.0	1.0	S	10.429224583001997	0.23310379199938325
3	4.711661125000319	response	4	escape		1.0	1.0	1.0	S	10.627407833000689	
3	4.74658166700101	ll_word_4	5		27	1.0	1.0	1.0	S	10.66232837500138	0.22029554099935922
3	4.883440208001048	response	5	escape		1.0	1.0	1.0	S	10.799186916001418	
3	4.966877208000369	ll_word_5	6		27	1.0	1.0	1.0	S	10.882623916000739	0.22990437500084226
3	5.0846305420000135	response	6	escape		1.0	1.0	1.0	S	11.000377250000383	
3	5.196781583001211	ll_word_6	7		27	1.0	1.0	1.0	S	11.112528291001581	0.21972570899924904
3	5.252638917001605	response	7	escape		1.0	1.0	1.0	S	11.168385625001974	
3	5.41650729200046	ll_word_7	8		27	1.0	1.0	1.0	S	11.33225400000083	0.23035999999956402
3	5.419302875001449	response	8	escape		1.0	1.0	1.0	S	11.335049583001819	
3	5.600819875000525	response	8	escape		1.0	1.0	1.0	S	11.516566583000895	
3	5.6468672920000245	ll_word_8	9		27	1.0	1.0	1.0	S	11.562614000000394	0.2201682080012688
3	5.784645542000362	response	9	escape		1.0	1.0	1.0	S	11.700392250000732	
3	5.867035500001293	ll_word_9	10		27	1.0	1.0	1.0	S	11.782782208001663	0.2492695000000822
3	6.000122167000882	pulse	10	t		1.0	1.0	1.0	S	11.915868875001252	
3	6.1163050000013754	ll_word_10	11		27	1.0	1.0	1.0	S	12.032051708001745	0.2305886249996547
3	6.34689362500103	ll_word_11	12		27	1.0	1.0	1.0	S	12.2626403330014	0.22055166700010886
